<video_id>HF8vekLWFfg</video_id>	NP	<video_id>HF8vekLWFfg</video_id>
<video_title>Blinken	NP	<video_title>Blinken
says	VVZ	say
Israeli	JJ	Israeli
operations	NNS	operation
need	VVP	need
to	TO	to
enter	VV	enter
‘lower	NN	‘lower
intensity	NN	intensity
phase’</video_title>	NN	phase’</video_title>
<thumbnail_path>data/en_AJ\Blinken	NP	<thumbnail_path>data/en_AJ\Blinken
says	VVZ	say
Israeli	JJ	Israeli
operations	NNS	operation
need	VVP	need
to	TO	to
enter	VV	enter
‘lower	NN	‘lower
intensity	NN	intensity
phase’.jpg</thumbnail_path>	NN	phase’.jpg</thumbnail_path>
<publish_date>20231220</publish_date>	NN	<publish_date>20231220</publish_date>
<doc>	NN	<doc>
and	CC	and
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
says	VVZ	say
Israel	NP	Israel
has	VHZ	have
an	DT	an
obligation	NN	obligation
to	TO	to
minimize	VV	minimize
civilian	JJ	civilian
casualties	NNS	casualty
in	IN	in
Gaza	NP	Gaza
Anthony	NP	Anthony
blinkin	NN	blinkin
made	VVD	make
those	DT	those
comments	NNS	comment
at	IN	at
his	PP$	his
end	NN	end
ofe	NN	ofe
press	NN	press
conference	NN	conference
and	CC	and
said	VVD	say
Washington	NP	Washington
will	MD	will
focus	VV	focus
on	IN	on
bringing	VVG	bring
the	DT	the
war	NN	war
to	TO	to
an	DT	an
end	NN	end
as	IN	as
quickly	RB	quickly
as	RB	as
possible	JJ	possible
we	PP	we
continue	VVP	continue
to	TO	to
believe	VV	believe
that	IN/that	that
Israel	NP	Israel
does	VVZ	do
not	RB	not
have	VH	have
to	TO	to
choose	VV	choose
between	IN	between
removing	VVG	remove
the	DT	the
threat	NN	threat
of	IN	of
Hamas	NNS	Hamas
and	CC	and
minimizing	VVG	minimize
the	DT	the
toll	NN	toll
on	IN	on
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
it	PP	it
has	VHZ	have
an	DT	an
obligation	NN	obligation
to	TO	to
do	VV	do
both	DT	both
and	CC	and
it	PP	it
has	VHZ	have
a	DT	a
strategic	JJ	strategic
interest	NN	interest
to	TO	to
do	VV	do
both	DT	both
we're	NN	we're
more	JJR	more
determined	VVN	determine
than	IN	than
ever	RB	ever
to	TO	to
ensure	VV	ensure
that	IN/that	that
out	RB	out
of	IN	of
this	DT	this
horrific	JJ	horrific
tragedy	NN	tragedy
comes	VVZ	come
a	DT	a
moment	NN	moment
of	IN	of
possibility	NN	possibility
for	IN	for
Israelis	NPS	Israelis
for	IN	for
Palestinians	NPS	Palestinians
for	IN	for
the	DT	the
region	NN	region
to	TO	to
live	VV	live
in	IN	in
lasting	JJ	lasting
peace	NN	peace
and	CC	and
Lasting	JJ	lasting
security	NN	security
that	IN/that	that
out	RB	out
of	IN	of
this	DT	this
darkness	NN	darkness
comes	VVZ	come
light	JJ	light
let's	NNS	let's
bring	VVP	bring
in	IN	in
Mike	NP	Mike
Hannah	NP	Hannah
he's	NNS	he's
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Washington	NP	Washington
DC	NP	DC
and	CC	and
what	WP	what
else	RB	else
did	VVD	do
we	PP	we
hear	VVP	hear
from	IN	from
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinken	NP	blinken
Mike	NP	Mike
he	PP	he
was	VBD	be
also	RB	also
so	RB	so
asked	VVN	ask
about	IN	about
what	WP	what
it	PP	it
would	MD	would
take	VV	take
for	IN	for
the	DT	the
us	PP	us
to	TO	to
stop	VV	stop
vetoing	VVG	veto
resolutions	NNS	resolution
at	IN	at
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
wasn't	VVD	wasn't
he	PP	he
yes	RB	yes
he	PP	he
was	VBD	be
and	CC	and
he	PP	he
didn't	VVD	didn't
answer	VV	answer
that	DT	that
question	NN	question
directly	RB	directly
he	PP	he
went	VVD	go
on	RP	on
to	TO	to
say	VV	say
that	IN/that	that
the	DT	the
latest	JJS	late
resolution	NN	resolution
which	WDT	which
is	VBZ	be
now	RB	now
being	VBG	be
put	VVN	put
on	IN	on
hold	NN	hold
again	RB	again
uh	UH	uh
deals	NNS	deal
with	IN	with
humanitarian	JJ	humanitarian
Affairs	NPS	Affairs
and	CC	and
the	DT	the
US	NP	US
is	VBZ	be
insistent	JJ	insistent
that	IN/that	that
it	PP	it
doesn't	VVD	doesn't
want	VV	want
any	DT	any
resolution	NN	resolution
passed	VVD	pass
that	WDT	that
will	MD	will
not	RB	not
help	VV	help
the	DT	the
provision	NN	provision
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
so	IN	so
he	PP	he
didn't	VVD	didn't
answer	VV	answer
that	DT	that
question	NN	question
directly	RB	directly
just	RB	just
as	IN	as
he	PP	he
didn't	VVD	didn't
answer	VV	answer
a	DT	a
question	NN	question
which	WDT	which
was	VBD	be
put	VVN	put
to	TO	to
him	PP	him
directly	RB	directly
does	VVZ	do
the	DT	the
US	PP	us
have	VHP	have
a	DT	a
red	JJ	red
line	NN	line
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
manner	NN	manner
of	IN	of
Israel's	NP	Israel's
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
once	RB	once
again	RB	again
he	PP	he
didn't	VVD	didn't
answer	NN	answer
that	IN/that	that
directly	RB	directly
he	PP	he
continued	VVD	continue
to	TO	to
say	VV	say
what	WP	what
has	VHZ	have
been	VBN	be
the	DT	the
line	NN	line
offered	VVN	offer
by	IN	by
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
a	DT	a
right	NN	right
and	CC	and
indeed	RB	indeed
duty	NN	duty
to	TO	to
take	VV	take
operations	NNS	operation
against	IN	against
Hamas	NNS	Hamas
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
it	PP	it
has	VHZ	have
a	DT	a
right	NN	right
and	CC	and
a	DT	a
strategic	JJ	strategic
duty	NN	duty
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
minimize	VV	minimize
uh	UH	uh
the	DT	the
cost	NN	cost
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
he	PP	he
describe	VVP	describe
the	DT	the
uh	UH	uh
this	DT	this
as	RB	as
vitally	RB	vitally
important	JJ	important
how	WRB	how
Israel	NP	Israel
conducts	VVZ	conduct
its	PP$	its
operations	NNS	operation
so	IN	so
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
like	IN	like
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
walking	VVG	walk
the	DT	the
thin	JJ	thin
line	NN	line
here	RB	here
attempting	VVG	attempt
to	TO	to
show	VV	show
that	IN/that	that
it	PP	it
cares	VVZ	care
about	IN	about
civilian	JJ	civilian
casualties	NNS	casualty
and	CC	and
is	VBZ	be
indeed	RB	indeed
deeply	RB	deeply
concerned	JJ	concerned
about	IN	about
them	PP	them
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
wanting	VVG	want
to	TO	to
publicly	RB	publicly
back	VV	back
Israel	NP	Israel
in	IN	in
its	PP$	its
ongoing	JJ	ongoing
operations	NNS	operation
just	RB	just
to	TO	to
add	VV	add
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
also	RB	also
spoke	VVD	speak
about	RB	about
over	IN	over
the	DT	the
year	NN	year
the	DT	the
US	NP	US
has	VHZ	have
strengthened	VVN	strengthen
its	PP$	its
alliances	NNS	alliance
uh	UH	uh
throughout	IN	throughout
the	DT	the
globe	NN	globe
with	IN	with
his	PP$	his
partner	NN	partner
organizations	NNS	organization
however	RB	however
another	DT	another
question	NN	question
that	IN/that	that
he	PP	he
would	MD	would
not	RB	not
answer	VV	answer
is	VBZ	be
to	TO	to
what	WDT	what
extent	NN	extent
the	DT	the
US	NP	US
ongoing	JJ	ongoing
unquestioning	JJ	unquestioning
support	NN	support
of	IN	of
Israel	NP	Israel
is	VBZ	be
impacting	VVG	impact
on	IN	on
these	DT	these
Global	JJ	global
alliances	NNS	alliance
and	CC	and
Mike	NP	Mike
we've	NN	we've
also	RB	also
heard	VVN	hear
from	IN	from
President	NP	President
Biden	NP	Biden
who's	NN	who's
been	VBN	be
speaking	VVG	speak
what	WP	what
does	VVZ	do
he	PP	he
had	VHD	have
to	TO	to
say	VV	say
well	RB	well
we	PP	we
heard	VVD	hear
from	IN	from
President	NP	President
Biden	NP	Biden
on	IN	on
the	DT	the
subject	NN	subject
of	IN	of
a	DT	a
Colorado	NP	Colorado
Supreme	NP	Supreme
Court	NP	Court
decision	NN	decision
in	IN	in
terms	NNS	term
of	IN	of
which	WDT	which
it	PP	it
ruled	VVD	rule
on	IN	on
an	DT	an
unprecedented	JJ	unprecedented
basis	NN	basis
uh	UH	uh
that	DT	that
former	JJ	former
president	NN	president
Trump	NP	Trump
cannot	MD	can
stand	VV	stand
on	IN	on
the	DT	the
ballot	NN	ballot
in	IN	in
uh	UH	uh
Colorado	NP	Colorado
because	IN	because
of	IN	of
an	DT	an
1868	JJ	@card@
uh	UH	uh
resolution	NN	resolution
in	IN	in
terms	NNS	term
of	IN	of
which	WDT	which
anybody	NN	anybody
who	WP	who
takes	VVZ	take
Parts	NNS	part
in	IN	in
Acts	NNS	act
of	IN	of
in	IN	in
Insurrection	NN	insurrection
cannot	MD	can
hold	VV	hold
an	DT	an
elected	VVN	elect
office	NN	office
now	RB	now
President	NP	President
Biden	NP	Biden
was	VBD	be
asked	VVN	ask
about	IN	about
this	DT	this
first	JJ	first
of	IN	of
all	DT	all
he	PP	he
said	VVD	say
yes	RB	yes
he	PP	he
had	VHD	have
has	VHZ	have
no	DT	no
doubt	NN	doubt
that	IN/that	that
Donald	NP	Donald
Trump	NP	Trump
took	VVD	take
part	NN	part
in	IN	in
an	DT	an
Insurrection	NN	insurrection
however	RB	however
on	IN	on
the	DT	the
issue	NN	issue
as	IN	as
to	TO	to
whether	IN	whether
this	DT	this
should	MD	should
disqualify	VV	disqualify
him	PP	him
from	IN	from
standing	VVG	stand
in	IN	in
the	DT	the
Colorado	NP	Colorado
ballot	NN	ballot
that	WDT	that
said	VVD	say
President	NP	President
Biden	NP	Biden
is	VBZ	be
something	NN	something
that's	NNS	that's
up	RB	up
for	IN	for
the	DT	the
courts	NNS	court
to	TO	to
decide	VV	decide
he	PP	he
doesn't	NN	doesn't
want	VVP	want
to	TO	to
get	VV	get
caught	VVN	catch
in	IN	in
the	DT	the
legal	JJ	legal
e	NN	e
of	IN	of
this	DT	this
argument	NN	argument
which	WDT	which
very	RB	very
clearly	RB	clearly
is	VBZ	be
going	VVG	go
to	TO	to
go	VV	go
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
which	WDT	which
just	RB	just
to	TO	to
add	VV	add
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
has	VHZ	have
already	RB	already
accepted	VVN	accept
a	DT	a
brief	NN	brief
from	IN	from
the	DT	the
special	JJ	special
prosecutor	NN	prosecutor
investigating	VVG	investigate
Donald	NP	Donald
by	IN	by
in	IN	in
terms	NNS	term
of	IN	of
Donald	NP	Donald
Trump	NP	Trump
in	IN	in
terms	NNS	term
of	IN	of
ruling	NN	ruling
on	IN	on
the	DT	the
question	NN	question
of	IN	of
his	PP$	his
immunity	NN	immunity
now	RB	now
this	DT	this
is	VBZ	be
in	IN	in
regard	NN	regard
to	TO	to
another	DT	another
case	NN	case
but	CC	but
clearly	RB	clearly
it	PP	it
has	VHZ	have
to	TO	to
do	VV	do
with	IN	with
the	DT	the
Colorado	NP	Colorado
case	NN	case
as	IN	as
well	RB	well
first	JJ	first
of	IN	of
all	PDT	all
the	DT	the
level	NN	level
of	IN	of
insurrection	NN	insurrection
whether	IN	whether
it	PP	it
can	MD	can
be	VB	be
applied	VVN	apply
against	IN	against
Donald	NP	Donald
Trump	NP	Trump
secondly	RB	secondly
the	DT	the
question	NN	question
of	IN	of
whether	IN	whether
there	EX	there
is	VBZ	be
any	DT	any
presidential	JJ	presidential
immunity	NN	immunity
for	IN	for
president	NN	president
Trump	NP	Trump
for	IN	for
ACT	NN	act
heed	NN	heed
while	IN	while
in	IN	in
office	NN	office
so	RB	so
in	IN	in
all	DT	all
likelihood	NN	likelihood
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
see	VV	see
a	DT	a
US	NP	US
Supreme	NP	Supreme
Court	NP	Court
maybe	RB	maybe
binding	VVG	bind
these	DT	these
two	CD	two
matters	NNS	matter
together	RB	together
and	CC	and
ruling	VVG	rule
and	CC	and
it	PP	it
does	VVZ	do
appear	VV	appear
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
urgency	NN	urgency
ruling	NN	ruling
on	IN	on
both	DT	both
matters	NNS	matter
immunity	NN	immunity
and	CC	and
whether	IN	whether
or	CC	or
not	RB	not
Donald	NP	Donald
Trump	NP	Trump
can	MD	can
be	VB	be
kicked	VVN	kick
off	IN	off
that	DT	that
Colorado	NP	Colorado
ballot	NN	ballot
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
all	DT	all
right	JJ	right
Mike	NP	Mike
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
uh	UH	uh
Mike	NP	Mike
Han	NP	Han
with	IN	with
the	DT	the
latest	JJS	late
on	IN	on
both	DT	both
of	IN	of
those	DT	those
stories	NNS	story
live	VVP	live
in	IN	in
Washington	NP	Washington
DC	NP	DC
</doc>	NN	</doc>
