<video_id>0SCi65LOYFY</video_id>	JJ	<video_id>0SCi65LOYFY</video_id>
<video_title>‘Hamza	NN	<video_title>‘Hamza
was	VBD	be
not	RB	not
part	NN	part
of	IN	of
me,	NP	me,
Hamza	NP	Hamza
was	VBD	be
all	RB	all
of	IN	of
me’:	JJ	me’:
Al	NP	Al
Jazeera	NP	Jazeera
Gaza	NP	Gaza
chief	JJ	chief
bids	NNS	bid
farewell	NN	farewell
to	TO	to
son</video_title>	JJ	son</video_title>
<thumbnail_path>data/en_AJ\‘Hamza	NN	<thumbnail_path>data/en_AJ\‘Hamza
was	VBD	be
not	RB	not
part	NN	part
of	IN	of
me,	NP	me,
Hamza	NP	Hamza
was	VBD	be
all	RB	all
of	IN	of
me’	JJ	me’
Al	NP	Al
Jazeera	NP	Jazeera
Gaza	NP	Gaza
chief	JJ	chief
bids	NNS	bid
farewell	NN	farewell
to	TO	to
son.jpg</thumbnail_path>	JJ	son.jpg</thumbnail_path>
<publish_date>20240107</publish_date>	JJ	<publish_date>20240107</publish_date>
<doc>	NN	<doc>
we	PP	we
can	MD	can
hear	VV	hear
from	IN	from
while	IN	while
ALU	NP	alu
now	RB	now
let's	NNS	let's
have	VHP	have
a	DT	a
listen	NN	listen
to	TO	to
what	WP	what
he	PP	he
has	VHZ	have
to	TO	to
say	VV	say
he	PP	he
is	VBZ	be
the	DT	the
best	JJS	good
disposer	NN	disposer
of	IN	of
Affairs	NPS	Affairs
this	DT	this
is	VBZ	be
our	PP$	our
choice	NN	choice
this	DT	this
is	VBZ	be
our	PP$	our
faith	NN	faith
and	CC	and
we	PP	we
must	MD	must
accept	VV	accept
our	PP$	our
Fai	NP	Fai
no	DT	no
matter	NN	matter
what	WP	what
happens	VVZ	happen
because	IN	because
our	PP$	our
ultimate	JJ	ultimate
hope	NN	hope
is	VBZ	be
that	IN/that	that
Allah	NP	Allah
be	VB	be
satisfied	VVN	satisfy
with	IN	with
us	PP	us
and	CC	and
that	DT	that
Allah	NP	Allah
views	VVZ	view
us	PP	us
as	IN	as
patient	JJ	patient
people	NNS	people
this	DT	this
is	VBZ	be
the	DT	the
fate	NN	fate
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
choice	NN	choice
of	IN	of
all	PDT	all
the	DT	the
people	NNS	people
here	RB	here
on	IN	on
this	DT	this
land	NN	land
as	IN	as
you	PP	you
can	MD	can
see	VV	see
people	NNS	people
in	IN	in
droves	NNS	drove
are	VBP	be
saying	VVG	say
goodbye	NN	goodbye
to	TO	to
their	PP$	their
loved	VVN	love
ones	NNS	one
and	CC	and
to	TO	to
their	PP$	their
children	NNS	child
every	DT	every
day	NN	day
every	DT	every
hour	NN	hour
and	CC	and
every	DT	every
second	JJ	second
and	CC	and
me	PP	me
just	RB	just
like	VVP	like
all	DT	all
of	IN	of
these	DT	these
people	NNS	people
I	PP	I
am	VBP	be
bidding	VVG	bid
farewell	NN	farewell
today	NN	today
what	WP	what
else	RB	else
can	MD	can
I	PP	I
say	VV	say
Allah	NP	Allah
the	DT	the
almighty	JJ	almighty
may	MD	may
Allah	NP	Allah
the	DT	the
almighty	JJ	almighty
give	VV	give
us	PP	us
strength	NN	strength
give	VV	give
us	PP	us
Comfort	NP	Comfort
give	VV	give
us	PP	us
patience	NN	patience
may	MD	may
Allah	NP	Allah
the	DT	the
almighty	JJ	almighty
give	VV	give
us	PP	us
the	DT	the
strength	NN	strength
to	TO	to
carry	VV	carry
on	IN	on
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
Hamza	NP	Hamza
and	CC	and
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
all	PDT	all
the	DT	the
martyrs	NNS	martyr
and	CC	and
to	TO	to
Hamza	NP	Hamza
and	CC	and
to	TO	to
all	PDT	all
the	DT	the
martyrs	NNS	martyr
I	PP	I
say	VVP	say
we	PP	we
will	MD	will
remain	VV	remain
faithful	NN	faithful
this	DT	this
is	VBZ	be
the	DT	the
road	NN	road
that	IN/that	that
we've	NN	we've
chosen	VVN	choose
consciously	RB	consciously
we	PP	we
have	VHP	have
offered	VVN	offer
much	RB	much
and	CC	and
we	PP	we
have	VHP	have
offered	VVN	offer
a	DT	a
lot	NN	lot
of	IN	of
blood	NN	blood
because	IN	because
this	DT	this
is	VBZ	be
our	PP$	our
destiny	NN	destiny
and	CC	and
we	PP	we
shall	MD	shall
continue	VV	continue
we	PP	we
shall	MD	shall
move	VV	move
forward	RB	forward
this	DT	this
is	VBZ	be
the	DT	the
great	JJ	great
challenge	NN	challenge
for	IN	for
us	PP	us
it	PP	it
is	VBZ	be
true	JJ	true
that	IN/that	that
we	PP	we
feel	VVP	feel
sorrow	NN	sorrow
it	PP	it
is	VBZ	be
true	JJ	true
that	IN/that	that
we	PP	we
are	VBP	be
experiencing	VVG	experience
suffering	VVG	suffer
it	PP	it
is	VBZ	be
true	JJ	true
that	IN/that	that
we	PP	we
are	VBP	be
in	IN	in
pain	NN	pain
for	IN	for
like	IN	like
I	PP	I
said	VVD	say
there	EX	there
is	VBZ	be
nothing	RB	nothing
harder	JJR	hard
than	IN	than
the	DT	the
pain	NN	pain
of	IN	of
losing	VVG	lose
so	RB	so
so	RB	so
what	WP	what
can	MD	can
you	PP	you
say	VV	say
when	WRB	when
you've	NN	you've
lost	VVD	lose
a	DT	a
child	NN	child
Hamza	NP	Hamza
was	VBD	be
not	RB	not
a	DT	a
part	NN	part
of	IN	of
me	FW	me
Hamza	NP	Hamza
was	VBD	be
all	RB	all
of	IN	of
me	PP	me
he	PP	he
was	VBD	be
the	DT	the
soul	NN	soul
of	IN	of
my	PP$	my
soul	NN	soul
he	PP	he
was	VBD	be
everything	NN	everything
to	TO	to
me	PP	me
but	CC	but
when	WRB	when
we	PP	we
feel	VVP	feel
sorrow	NN	sorrow
we	PP	we
remember	VVP	remember
that	IN/that	that
the	DT	the
prophet	NN	prophet
peace	NN	peace
be	VB	be
upon	IN	upon
him	PP	him
also	RB	also
felt	VVD	feel
sorrow	NN	sorrow
and	CC	and
also	RB	also
shed	VVD	shed
tears	VVZ	tear
these	DT	these
are	VBP	be
the	DT	the
tears	NNS	tear
of	IN	of
Sorrow	NP	Sorrow
these	DT	these
are	VBP	be
the	DT	the
tears	NNS	tear
of	IN	of
farewell	NN	farewell
and	CC	and
are	VBP	be
the	DT	the
tears	NNS	tear
that	WDT	that
distinguish	VVP	distinguish
us	PP	us
from	IN	from
our	PP$	our
enemies	NNS	enemy
we	PP	we
are	VBP	be
full	JJ	full
of	IN	of
humanity	NN	humanity
and	CC	and
they	PP	they
are	VBP	be
full	JJ	full
of	IN	of
murder	NN	murder
they	PP	they
are	VBP	be
full	JJ	full
of	IN	of
Rage	NN	rage
for	IN	for
that	DT	that
reason	NN	reason
we	PP	we
cry	VVP	cry
we	PP	we
mourn	VVP	mourn
we	PP	we
shed	VVP	shed
tears	VVZ	tear
yes	UH	yes
however	RB	however
our	PP$	our
tears	NNS	tear
are	VBP	be
tears	NNS	tear
of	IN	of
humanity	NN	humanity
they	PP	they
are	VBP	be
the	DT	the
tears	NNS	tear
of	IN	of
dignity	NN	dignity
and	CC	and
they	PP	they
are	VBP	be
not	RB	not
the	DT	the
tears	NNS	tear
of	IN	of
fear	NN	fear
they	PP	they
are	VBP	be
not	RB	not
the	DT	the
tears	NNS	tear
of	IN	of
Terror	NN	terror
they	PP	they
are	VBP	be
not	RB	not
the	DT	the
tears	NNS	tear
of	IN	of
surrender	NN	surrender
and	CC	and
defeat	NN	defeat
and	CC	and
this	DT	this
makes	VVZ	make
me	PP	me
say	VVP	say
today	NN	today
that	IN/that	that
we	PP	we
will	MD	will
continue	VV	continue
we	PP	we
are	VBP	be
still	RB	still
working	VVG	work
live	JJ	live
on	IN	on
air	NN	air
and	CC	and
we	PP	we
are	VBP	be
not	RB	not
ashamed	JJ	ashamed
of	IN	of
anything	NN	anything
my	PP$	my
son	NN	son
Hamza	NP	Hamza
was	VBD	be
working	VVG	work
with	IN	with
me	PP	me
he	PP	he
was	VBD	be
working	VVG	work
with	IN	with
us	PP	us
as	IN	as
part	NN	part
of	IN	of
the	DT	the
AL	NP	al
jaaz	NN	jaaz
crew	NN	crew
and	CC	and
I	PP	I
started	VVD	start
working	VVG	work
before	IN	before
Hamza	NP	Hamza
was	VBD	be
born	VVN	bear
and	CC	and
until	IN	until
today	NN	today
I	PP	I
have	VHP	have
been	VBN	be
working	VVG	work
on	IN	on
this	DT	this
mission	NN	mission
for	IN	for
over	RB	over
two	CD	two
decades	NNS	decade
working	VVG	work
on	IN	on
this	DT	this
humanitarian	JJ	humanitarian
mission	NN	mission
after	IN	after
my	PP$	my
family	NN	family
and	CC	and
after	IN	after
Hamza	NP	Hamza
we	PP	we
will	MD	will
definitely	RB	definitely
continue	VV	continue
we	PP	we
will	MD	will
continue	VV	continue
however	RB	however
the	DT	the
entire	JJ	entire
world	NN	world
must	MD	must
take	VV	take
a	DT	a
look	NN	look
at	IN	at
what	WP	what
is	VBZ	be
going	VVG	go
on	RP	on
here	RB	here
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
what	WP	what
is	VBZ	be
going	VVG	go
on	IN	on
is	VBZ	be
difficult	JJ	difficult
it	PP	it
is	VBZ	be
painful	JJ	painful
it	PP	it
is	VBZ	be
massive	JJ	massive
and	CC	and
there	EX	there
is	VBZ	be
great	JJ	great
Injustice	NN	injustice
here	RB	here
for	IN	for
an	DT	an
AR	NP	Ar
people	NNS	people
for	IN	for
the	DT	the
civilian	JJ	civilian
people	NNS	people
who	WP	who
live	VVP	live
here	RB	here
what	WP	what
is	VBZ	be
happening	VVG	happen
holds	VVZ	hold
great	JJ	great
Injustice	NN	injustice
for	IN	for
us	PP	us
as	IN	as
journalists	NNS	journalist
it	PP	it
was	VBD	be
said	VVN	say
in	IN	in
the	DT	the
past	NN	past
that	IN/that	that
the	DT	the
freedom	NN	freedom
of	IN	of
opinion	NN	opinion
and	CC	and
the	DT	the
freedom	NN	freedom
of	IN	of
expression	NN	expression
and	CC	and
the	DT	the
work	NN	work
that	IN/that	that
journalists	NNS	journalist
do	VVP	do
and	CC	and
obtaining	VVG	obtain
information	NN	information
photos	NNS	photo
and	CC	and
footage	NN	footage
in	IN	in
order	NN	order
for	IN	for
the	DT	the
deserving	JJ	deserving
audience	NN	audience
to	TO	to
view	VV	view
them	PP	them
it	PP	it
was	VBD	be
said	VVN	say
that	IN/that	that
our	PP$	our
job	NN	job
was	VBD	be
guaranteed	VVN	guarantee
by	IN	by
international	JJ	international
law	NN	law
and	CC	and
humanitarian	JJ	humanitarian
law	NN	law
however	RB	however
107	CD	@card@
journalists	NNS	journalist
have	VHP	have
fallen	VVN	fall
their	PP$	their
blood	NN	blood
has	VHZ	have
been	VBN	be
spilled	VVN	spill
on	IN	on
this	DT	this
land	NN	land
as	IN	as
if	IN	if
no	DT	no
one	CD	one
heard	VVN	hear
about	IN	about
what	WP	what
was	VBD	be
said	VVN	say
as	RB	as
if	IN	if
no	DT	no
one	CD	one
was	VBD	be
seeing	VVG	see
what	WP	what
is	VBZ	be
happening	VVG	happen
here	RB	here
I	PP	I
call	VVP	call
upon	IN	upon
the	DT	the
entire	JJ	entire
world	NN	world
to	TO	to
put	VV	put
an	DT	an
end	NN	end
to	TO	to
all	DT	all
this	DT	this
killing	NN	killing
that	WDT	that
is	VBZ	be
taking	VVG	take
journalists	NNS	journalist
one	CD	one
after	IN	after
the	DT	the
other	JJ	other
I	PP	I
hope	VVP	hope
that	IN/that	that
the	DT	the
blood	NN	blood
of	IN	of
my	PP$	my
son	NN	son
Hamza	NP	Hamza
will	MD	will
be	VB	be
the	DT	the
last	JJ	last
Blood	NP	Blood
spilled	VVD	spill
by	IN	by
journalist	NN	journalist
and	CC	and
the	DT	the
lad's	NNS	lad's
blood	NN	blood
to	TO	to
be	VB	be
spilled	VVN	spill
here	RB	here
by	IN	by
anyone	NN	anyone
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
I	PP	I
hope	VVP	hope
that	IN/that	that
this	DT	this
massacre	NN	massacre
will	MD	will
come	VV	come
to	TO	to
an	DT	an
end	NN	end
however	RB	however
no	RB	no
matter	VV	matter
what	WP	what
the	DT	the
cost	NN	cost
we	PP	we
will	MD	will
continue	VV	continue
this	DT	this
is	VBZ	be
a	DT	a
humanitarian	JJ	humanitarian
mission	NN	mission
that	WDT	that
is	VBZ	be
guaranteed	VVN	guarantee
by	IN	by
international	JJ	international
law	NN	law
and	CC	and
this	DT	this
is	VBZ	be
our	PP$	our
a	DT	a
duty	NN	duty
that	IN/that	that
we	PP	we
will	MD	will
do	VV	do
and	CC	and
continue	VV	continue
Until	IN	until
the	DT	the
End	NP	End
Abu	NP	Abu
Hamza	NP	Hamza
may	MD	may
Allah	NP	Allah
Grant	NP	Grant
you	PP	you
patience	NN	patience
allow	VV	allow
me	PP	me
please	VV	please
to	TO	to
kiss	VV	kiss
