<video_id>wNaQ0PJWH2s</video_id>	JJ	<video_id>wNaQ0PJWH2s</video_id>
<video_title>Journalist	NN	<video_title>Journalist
captures	VVZ	capture
Bureij	NP	Bureij
refugee	NN	refugee
camp's	NNS	camp's
school	NN	school
destruction</video_title>	NN	destruction</video_title>
<thumbnail_path>data/en_AJ\Journalist	NN	<thumbnail_path>data/en_AJ\Journalist
captures	VVZ	capture
Bureij	NP	Bureij
refugee	NN	refugee
camp's	NNS	camp's
school	NN	school
destruction.jpg</thumbnail_path>	NN	destruction.jpg</thumbnail_path>
<publish_date>20240206</publish_date>	NN	<publish_date>20240206</publish_date>
<doc>	NN	<doc>
[Music]	NN	[Music]
We	PP	we
did	VVD	do
not	RB	not
evacuate,	NP	evacuate,
nor	CC	nor
did	VVD	do
they	PP	they
evacuate,	VVD	evacuate,
nor	CC	nor
did	VVD	do
they	PP	they
evacuate,	VVD	evacuate,
nor	CC	nor
did	VVD	do
they	PP	they
evacuate,	VVD	evacuate,
nor	CC	nor
did	VVD	do
they	PP	they
evacuate,	VVD	evacuate,
nor	CC	nor
did	VVD	do
they	PP	they
evacuate	VV	evacuate
a	DT	a
house,	NP	house,
nor	CC	nor
a	DT	a
roundabout,	NN	roundabout,
nor	CC	nor
a	DT	a
school,	NP	school,
nor	CC	nor
a	DT	a
mosque,	NN	mosque,
nor	CC	nor
did	VVD	do
they	PP	they
evacuate	VVP	evacuate
anything.	RB	anything.
I	PP	I
mean,	VVP	mean,
I	PP	I
swear	VV	swear
to	TO	to
God,	NP	God,
there	EX	there
was	VBD	be
a	DT	a
strike	NN	strike
on	IN	on
the	DT	the
ground	NN	ground
wherever	WRB	wherever
it	PP	it
was,	VVP	was,
wherever	WRB	wherever
it	PP	it
was,	VVP	was,
there	EX	there
was	VBD	be
destruction	NN	destruction
wherever	WRB	wherever
it	PP	it
was,	VVP	was,
from	IN	from
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
tower	NN	tower
to	TO	to
the	DT	the
end	NN	end
of	IN	of
the	DT	the
tower.	NN	tower.
I	PP	I
am	VBP	be
standing	VVG	stand
like	IN	like
science	NN	science
[music]	NN	[music]
make	VVP	make
subscribe	VV	subscribe
to	TO	to
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
</doc>	NN	</doc>
