<video_id>nwTjTYlf-4U</video_id>	JJ	<video_id>nwTjTYlf-4U</video_id>
<video_title>British	JJ	<video_title>British
teen	NN	teen
missing	VVG	miss
in	IN	in
Hamas	JJ	Hamas
attack	NN	attack
confirmed	VVD	confirm
dead	JJ	dead
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\British	JJ	<thumbnail_path>data/en_BBCNews\British
teen	NN	teen
missing	VVG	miss
in	IN	in
Hamas	JJ	Hamas
attack	NN	attack
confirmed	VVD	confirm
dead	JJ	dead
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231017</publish_date>	NN	<publish_date>20231017</publish_date>
<doc>	NN	<doc>
is	VBZ	be
a	DT	a
British	JJ	British
teenager	NN	teenager
who	WP	who
is	VBZ	be
missing	VVG	miss
with	IN	with
her	PP$	her
sister	NN	sister
after	IN	after
the	DT	the
Hamas	JJ	Hamas
attacks	NNS	attack
has	VHZ	have
been	VBN	be
murdered	VVN	murder
family	NN	family
members	NNS	member
have	VHP	have
told	VVN	tell
BBC	NP	BBC
news	NN	news
that	IN/that	that
13-year-old	JJ	13-year-old
yahel	NN	yahel
is	VBZ	be
now	RB	now
confirmed	VVN	confirm
as	IN	as
having	VHG	have
been	VBN	be
killed	VVN	kill
in	IN	in
that	DT	that
attack	NN	attack
her	PP$	her
mom	NN	mom
lean	NN	lean
was	VBD	be
also	RB	also
murdered	VVN	murder
her	PP$	her
British	JJ	British
sister	JJ	sister
Noya	NP	Noya
who	WP	who
is	VBZ	be
16	CD	@card@
and	CC	and
her	PP$	her
dad	NN	dad
Eli	NP	Eli
are	VBP	be
still	RB	still
missing	VVG	miss
well	RB	well
let's	NNS	let's
get	VVP	get
the	DT	the
very	RB	very
latest	JJS	late
with	IN	with
our	PP$	our
special	JJ	special
correspondent	NN	correspondent
Lucy	NP	Lucy
Manning	NP	Manning
and	CC	and
Lucy	NP	Lucy
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
the	DT	the
circumstances	NNS	circumstance
of	IN	of
her	PP$	her
death	NN	death
well	RB	well
this	DT	this
is	VBZ	be
very	RB	very
sad	JJ	sad
news	NN	news
from	IN	from
Israel	NP	Israel
um	NNS	um
we	PP	we
know	VVP	know
we	PP	we
reported	VVD	report
last	JJ	last
night	NN	night
that	IN/that	that
yeah	RB	yeah
just	RB	just
13	CD	@card@
and	CC	and
her	PP$	her
sister	JJ	sister
Noya	NP	Noya
16	CD	@card@
were	VBD	be
missing	VVG	miss
after	IN	after
the	DT	the
Hamas	JJ	Hamas
attack	NN	attack
and	CC	and
uh	UH	uh
we	PP	we
were	VBD	be
told	VVN	tell
by	IN	by
family	NN	family
members	NNS	member
this	DT	this
morning	NN	morning
that	IN/that	that
it	PP	it
has	VHZ	have
been	VBN	be
confirmed	VVN	confirm
that	IN/that	that
yel	NN	yel
has	VHZ	have
now	RB	now
been	VBN	be
murdered	VVN	murder
her	PP$	her
sister	NN	sister
Noya	NP	Noya
is	VBZ	be
still	RB	still
missing	VVG	miss
her	PP$	her
mom	NN	mom
Leanne	NP	Leanne
they	PP	they
are	VBP	be
all	RB	all
British	JJ	British
her	PP$	her
mom	NN	mom
Leanne	NP	Leanne
was	VBD	be
confirmed	VVN	confirm
Med	NP	Med
murdered	VVN	murder
as	IN	as
well	UH	well
uh	UH	uh
this	DT	this
is	VBZ	be
one	CD	one
family	NN	family
in	IN	in
Israel	NP	Israel
their	PP$	their
dad	NN	dad
Ellie	NP	Ellie
is	VBZ	be
missing	VVG	miss
Ellie's	NP	Ellie's
brother	NN	brother
and	CC	and
another	DT	another
relative	JJ	relative
have	VHP	have
been	VBN	be
taken	VVN	take
hostage	NN	hostage
I	PP	I
spoke	VVD	speak
last	JJ	last
night	NN	night
to	TO	to
relatives	NNS	relative
of	IN	of
the	DT	the
family	NN	family
in	IN	in
Israel	NP	Israel
and	CC	and
they	PP	they
described	VVD	describe
13	CD	@card@
year	NN	year
old	JJ	old
yel	NN	yel
you	PP	you
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
see	VV	see
the	DT	the
photos	NNS	photo
with	IN	with
her	PP$	her
smiling	VVG	smile
in	IN	in
family	NN	family
celebrations	NNS	celebration
they	PP	they
said	VVD	say
she	PP	she
was	VBD	be
always	RB	always
funny	JJ	funny
that	IN/that	that
she	PP	she
loved	VVD	love
to	TO	to
sing	VV	sing
and	CC	and
to	TO	to
dance	VV	dance
and	CC	and
to	TO	to
perform	VV	perform
and	CC	and
um	JJ	um
um	NNS	um
the	DT	the
family	NN	family
understandably	RB	understandably
are	VBP	be
devastated	VVN	devastate
by	IN	by
this	DT	this
news	NN	news
and	CC	and
they	PP	they
are	VBP	be
still	RB	still
waiting	VVG	wait
for	IN	for
news	NN	news
on	IN	on
the	DT	the
whereabouts	NN	whereabouts
of	IN	of
noya	VVG	noya
uh	UH	uh
the	DT	the
family	NN	family
were	VBD	be
from	IN	from
kibitz	VV	kibitz
beeri	NP	beeri
that's	NNS	that's
one	CD	one
of	IN	of
the	DT	the
kibot	NN	kibot
in	IN	in
near	IN	near
the	DT	the
Gaza	NP	Gaza
border	NN	border
um	NNS	um
where	WRB	where
the	DT	the
Hamas	JJ	Hamas
gunmen	NNS	gunman
just	RB	just
slaughtered	VVN	slaughter
families	NNS	family
in	IN	in
their	PP$	their
homes	NNS	home
and	CC	and
uh	UH	uh
took	VVD	take
others	NNS	other
away	RB	away
and	CC	and
uh	UH	uh
here	RB	here
we	PP	we
have	VHP	have
um	VVN	um
a	DT	a
British	JJ	British
family	NN	family
two	CD	two
teenage	JJ	teenage
sisters	NNS	sister
uh	UH	uh
their	PP$	their
mom	NN	mom
and	CC	and
we	PP	we
now	RB	now
know	VVP	know
that	IN/that	that
the	DT	the
mom	NN	mom
and	CC	and
the	DT	the
13-year-old	JJ	13-year-old
have	VHP	have
been	VBN	be
murdered	VVN	murder
and	CC	and
the	DT	the
family	NN	family
await	VVP	await
news	NN	news
on	IN	on
on	IN	on
their	PP$	their
other	JJ	other
daughter	NN	daughter
and	CC	and
the	DT	the
dad	NN	dad
um	NN	um
in	IN	in
a	DT	a
statement	NN	statement
yesterday	NN	yesterday
about	IN	about
Leanne	NP	Leanne
the	DT	the
mom	NN	mom
she	PP	she
had	VHD	have
moved	VVN	move
from	IN	from
England	NP	England
um	NNS	um
to	TO	to
work	VV	work
and	CC	and
live	VV	live
on	IN	on
the	DT	the
kibuts	NNS	kibuts
in	IN	in
her	PP$	her
late	JJ	late
teens	NNS	teen
and	CC	and
then	RB	then
had	VHD	have
decided	VVN	decide
to	TO	to
make	VV	make
a	DT	a
life	NN	life
out	IN	out
there	RB	there
they	PP	they
described	VVD	describe
her	PP	her
as	IN	as
a	DT	a
beloved	JJ	beloved
Mom	NP	Mom
and	CC	and
Aunt	NN	aunt
um	NNS	um
and	CC	and
friend	NN	friend
and	CC	and
said	VVD	say
she	PP	she
had	VHD	have
really	RB	really
enriched	VVN	enrich
people's	NN	people's
lives	NNS	life
but	CC	but
uh	UH	uh
a	DT	a
sad	JJ	sad
start	NN	start
to	TO	to
the	DT	the
morning	NN	morning
with	IN	with
this	DT	this
news	NN	news
from	IN	from
Israel	NP	Israel
that	IN/that	that
the	DT	the
British	JJ	British
teenager	NN	teenager
yel	NN	yel
has	VHZ	have
been	VBN	be
murdered	VVN	murder
yeah	RB	yeah
Lucy	NP	Lucy
a	DT	a
desperately	RB	desperately
sad	JJ	sad
story	NN	story
and	CC	and
of	IN	of
course	VV	course
uh	UH	uh
now	RB	now
a	DT	a
long	RB	long
wait	VV	wait
uh	UH	uh
to	TO	to
discover	VV	discover
the	DT	the
whereabouts	NN	whereabouts
of	IN	of
those	DT	those
other	JJ	other
family	NN	family
members	NNS	member
um	JJ	um
and	CC	and
just	RB	just
reminders	NNS	reminder
we	PP	we
heard	VVD	hear
from	IN	from
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
yesterday	NN	yesterday
telling	VVG	tell
Parliament	NP	Parliament
that	IN/that	that
another	DT	another
10	CD	@card@
people	NNS	people
are	VBP	be
still	RB	still
missing	VVG	miss
and	CC	and
the	DT	the
government	NN	government
does	VVZ	do
fear	NN	fear
that	IN/that	that
some	DT	some
of	IN	of
of	IN	of
those	DT	those
could	MD	could
also	RB	also
be	VB	be
dead	RB	dead
well	RB	well
I	PP	I
think	VVP	think
the	DT	the
official	JJ	official
government	NN	government
figures	NNS	figure
are	VBP	be
six	CD	six
British	JJ	British
uh	UH	uh
six	CD	six
British	JJ	British
citizens	NNS	citizen
have	VHP	have
been	VBN	be
murdered	VVN	murder
and	CC	and
um	JJ	um
n	NN	n
are	VBP	be
missing	VVG	miss
um	JJ	um
it's	NNS	it's
not	RB	not
known	VVN	know
whether	IN	whether
those	DT	those
have	VHP	have
been	VBN	be
kidnapped	VVN	kidnap
or	CC	or
whether	IN	whether
those	DT	those
have	VHP	have
been	VBN	be
murdered	VVN	murder
as	IN	as
well	RB	well
we	PP	we
spoke	VVD	speak
to	TO	to
another	DT	another
family	NN	family
yesterday	NN	yesterday
a	DT	a
British	JJ	British
family	NN	family
um	NNS	um
there	RB	there
I	PP	I
spoke	VVD	speak
to	TO	to
Elliot	NP	Elliot
Young	NP	Young
his	PP$	his
brother	NN	brother
natanel	NN	natanel
had	VHD	have
been	VBN	be
killed	VVN	kill
he	PP	he
was	VBD	be
uh	UH	uh
from	IN	from
London	NP	London
he	PP	he
was	VBD	be
uh	UH	uh
serving	VVG	serve
in	IN	in
the	DT	the
Israeli	JJ	Israeli
Army	NP	Army
um	NN	um
and	CC	and
there	EX	there
are	VBP	be
others	NNS	other
uh	UH	uh
Bernard	NP	Bernard
Cowen	NP	Cowen
from	IN	from
Scotland	NP	Scotland
Danny	NP	Danny
darington	NP	darington
a	DT	a
British	JJ	British
photographer	NN	photographer
um	NNS	um
so	IN	so
we	PP	we
are	VBP	be
starting	VVG	start
to	TO	to
hear	VV	hear
more	JJR	more
British	JJ	British
names	NNS	name
but	CC	but
I	PP	I
think	VVP	think
unfortunately	RB	unfortunately
because	IN	because
there	EX	there
are	VBP	be
10	RB	@card@
missing	VVG	miss
uh	UH	uh
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
start	VV	start
to	TO	to
hear	VV	hear
more	JJR	more
of	IN	of
these	DT	these
stories	NNS	story
affecting	VVG	affect
British	JJ	British
citizens	NNS	citizen
but	CC	but
this	DT	this
has	VHZ	have
affected	VVN	affect
citizens	NNS	citizen
from	IN	from
throughout	IN	throughout
the	DT	the
world	NN	world
um	NNS	um
not	RB	not
just	RB	just
Israelis	NPS	Israelis
but	CC	but
citizens	NNS	citizen
people	NNS	people
from	IN	from
other	JJ	other
countries	NNS	country
as	IN	as
well	RB	well
1,400	CD	@card@
people	NNS	people
killed	VVN	kill
in	IN	in
that	DT	that
tamas	NN	tamas
attack	NN	attack
um	NN	um
this	DT	this
this	DT	this
family	NN	family
just	RB	just
just	RB	just
one	CD	one
family	NN	family
that	WDT	that
has	VHZ	have
been	VBN	be
destroyed	VVN	destroy
Lucy	NP	Lucy
for	IN	for
now	RB	now
thanks	NNS	thanks
very	RB	very
much	JJ	much
that's	NNS	that's
our	PP$	our
special	JJ	special
correspondent	NN	correspondent
Lucy	NP	Lucy
Manning	NP	Manning
with	IN	with
that	DT	that
desperately	RB	desperately
sad	JJ	sad
uh	UH	uh
update	VV	update
this	DT	this
morning	NN	morning
uh	UH	uh
to	TO	to
bring	VV	bring
you	PP	you
</doc>	JJ	</doc>
