inian	JJ	inian
representative	NN	representative
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
Riad	NP	Riad
Mansour	NP	Mansour
joins	VVZ	join
me	PP	me
now	RB	now
from	IN	from
the	DT	the
UN	NP	UN
headquarters	NN	headquarters
in	IN	in
New	NP	New
York	NP	York
many	JJ	many
thanks	NNS	thanks
for	IN	for
joining	VVG	join
the	DT	the
program	NN	program
what	WDT	what
is	VBZ	be
uh	UH	uh
your	PP$	your
reaction	NN	reaction
to	TO	to
the	DT	the
events	NNS	event
of	IN	of
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
the	DT	the
US	NP	US
veto	NN	veto
at	IN	at
the	DT	the
UNC	NP	UNC
it	PP	it
'	POS	'
s	NN	S
very	RB	very
regrettable	JJ	regrettable
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
now	RB	now
after	IN	after
almost	RB	almost
145	CD	@card@
days	NNS	day
of	IN	of
the	DT	the
continuing	VVG	continue
of	IN	of
this	DT	this
uh	UH	uh
uh	UH	uh
crime	NN	crime
against	IN	against
our	PP$	our
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
described	VVD	describe
you	PP	you
know	VVP	know
by	IN	by
you	PP	you
know	VVP	know
those	DT	those
who	WP	who
went	VVD	go
to	TO	to
the	DT	the
icj	NN	icj
as	IN	as
a	DT	a
genocidal	JJ	genocidal
you	PP	you
know	VVP	know
war	NN	war
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
by	IN	by
the	DT	the
occupying	JJ	occupying
power	NN	power
and	CC	and
not	RB	not
to	TO	to
yet	RB	yet
agree	VV	agree
uh	UH	uh
through	IN	through
a	DT	a
resolution	NN	resolution
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
to	TO	to
call	NN	call
for	IN	for
uh	UH	uh
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
Call	VV	call
It	PP	it
Whatever	WDT	whatever
humanitarian	JJ	humanitarian
describe	VVP	describe
it	PP	it
as	IN	as
you	PP	you
wish	VVP	wish
but	CC	but
immediate	JJ	immediate
ceasefire	NN	ceasefire
as	IN	as
requested	VVN	request
by	IN	by
the	DT	the
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
UN	NP	UN
and	CC	and
almost	RB	almost
all	DT	all
humanitarian	JJ	humanitarian
agencies	NNS	agency
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
massive	JJ	massive
number	NN	number
of	IN	of
countries	NNS	country
in	IN	in
the	DT	the
general	JJ	general
assembly	NN	assembly
and	CC	and
almost	RB	almost
everyone	NN	everyone
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
with	IN	with
the	DT	the
exception	NN	exception
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
so	IN	so
it	PP	it
is	VBZ	be
regrettable	JJ	regrettable
it	PP	it
is	VBZ	be
the	DT	the
wrong	JJ	wrong
message	NN	message
to	TO	to
be	VB	be
sent	VVN	send
by	IN	by
the	DT	the
security	NN	security
Council	NN	council
to	TO	to
Israel	NP	Israel
and	CC	and
we	PP	we
will	MD	will
continue	VV	continue
knocking	VVG	knock
on	IN	on
the	DT	the
door	NN	door
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
the	DT	the
general	JJ	general
assembly	NN	assembly
all	DT	all
components	NNS	component
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
including	VVG	include
I	PP	I
myself	PP	myself
I	PP	I
was	VBD	be
before	IN	before
the	DT	the
icj	JJ	icj
uh	UH	uh
yesterday	NN	yesterday
in	IN	in
which	WDT	which
I	PP	I
pleaded	VVD	plead
the	DT	the
case	NN	case
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
through	IN	through
the	DT	the
tremendous	JJ	tremendous
amount	NN	amount
of	IN	of
pain	NN	pain
that	IN/that	that
you	PP	you
know	VVP	know
to	TO	to
be	VB	be
a	DT	a
Palestinian	JJ	Palestinian
today	NN	today
uh	UH	uh
to	TO	to
convey	VV	convey
it	PP	it
to	TO	to
all	PDT	all
the	DT	the
judges	NNS	judge
in	IN	in
the	DT	the
icj	NN	icj
in	IN	in
a	DT	a
Humane	JJ	humane
in	IN	in
an	DT	an
emotional	JJ	emotional
and	CC	and
hopefully	RB	hopefully
in	IN	in
an	DT	an
in	IN	in
effective	JJ	effective
way	NN	way
so	RB	so
that	IN/that	that
the	DT	the
security	NN	security
the	DT	the
SG	NP	SG
icj	NN	icj
to	TO	to
also	RB	also
add	VV	add
their	PP$	their
voice	NN	voice
through	IN	through
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
that	WDT	that
amounts	VVZ	amount
to	TO	to
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
for	IN	for
Israel	NP	Israel
to	TO	to
