<video_id>Up9WuQeuYYw</video_id>	JJ	<video_id>Up9WuQeuYYw</video_id>
<video_title>Guterres	NNS	<video_title>Guterres
says	VVZ	say
he's	NNS	he's
shocked	VVN	shock
by	IN	by
misinterpretations	NNS	misinterpretation
of	IN	of
his	PP$	his
statement	NN	statement
to	TO	to
Security	NP	Security
Council	NP	Council
on	IN	on
Tuesday</video_title>	NP	Tuesday</video_title>
<thumbnail_path>data/en_AJ\Guterres	NNS	<thumbnail_path>data/en_AJ\Guterres
says	VVZ	say
he's	NNS	he's
shocked	VVN	shock
by	IN	by
misinterpretations	NNS	misinterpretation
of	IN	of
his	PP$	his
statement	NN	statement
to	TO	to
Security	NP	Security
Council	NP	Council
on	IN	on
Tuesday.jpg</thumbnail_path>	NP	Tuesday.jpg</thumbnail_path>
<publish_date>20231025</publish_date>	NP	<publish_date>20231025</publish_date>
<doc>	NP	<doc>
United	NP	United
Nations	NPS	Nations
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
gueras	NP	gueras
is	VBZ	be
speaking	VVG	speak
in	IN	in
New	NP	New
York	NP	York
let's	NNS	let's
listen	VVP	listen
in	IN	in
I	PP	I
have	VHP	have
condemned	VVN	condemn
unequivocally	RB	unequivocally
the	DT	the
orfy	JJ	orfy
and	CC	and
unprecedented	JJ	unprecedented
7	CD	@card@
October	NP	October
acts	NNS	act
of	IN	of
Terror	NN	terror
by	IN	by
amas	NNS	amas
in	IN	in
Israel	NP	Israel
nothing	NN	nothing
can	MD	can
justify	VV	justify
the	DT	the
deliberate	JJ	deliberate
killing	NN	killing
injuring	VVG	injure
and	CC	and
kidnapping	VVG	kidnap
of	IN	of
civilians	NNS	civilian
or	CC	or
the	DT	the
launching	NN	launching
of	IN	of
rockets	NNS	rocket
against	IN	against
civilian	JJ	civilian
targets	NNS	target
end	NN	end
quote	VVP	quote
indeed	RB	indeed
I	PP	I
spoke	VVD	speak
of	IN	of
the	DT	the
GRE	NP	GRE
es	NP	es
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
in	IN	in
doing	VVG	do
so	IN	so
I	PP	I
also	RB	also
clearly	RB	clearly
stated	VVN	state
and	CC	and
I	PP	I
quote	VVP	quote
that	IN/that	that
the	DT	the
Grievances	NNS	grievance
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
