<video_id>Kr2tT1ePgQY</video_id>	JJ	<video_id>Kr2tT1ePgQY</video_id>
<video_title>Hamas	JJ	<video_title>Hamas
armed	JJ	armed
wing	NN	wing
claims	VVZ	claim
latest	JJS	late
rocket	NN	rocket
firings	NNS	firing
towards	IN	towards
Tel	NP	Tel
Aviv</video_title>	NP	Aviv</video_title>
<thumbnail_path>data/en_AJ\Hamas	VVZ	<thumbnail_path>data/en_AJ\Hamas
armed	JJ	armed
wing	NN	wing
claims	VVZ	claim
latest	JJS	late
rocket	NN	rocket
firings	NNS	firing
towards	IN	towards
Tel	NP	Tel
Aviv.jpg</thumbnail_path>	NP	Aviv.jpg</thumbnail_path>
<publish_date>20231120</publish_date>	JJ	<publish_date>20231120</publish_date>
<doc>	NN	<doc>
news	NN	news
out	IN	out
of	IN	of
Tel	NP	Tel
Aviv	NP	Aviv
because	IN	because
we	PP	we
understand	VVP	understand
that	IN/that	that
alasan	JJ	alasan
brigades	NNS	brigade
has	VHZ	have
fired	VVN	fire
a	DT	a
large	JJ	large
barrage	NN	barrage
of	IN	of
rockets	VVZ	rocket
uh	UH	uh
from	IN	from
Gaza	NP	Gaza
towards	IN	towards
Tel	NP	Tel
Aviv	NP	Aviv
reportedly	RB	reportedly
intercepted	VVD	intercept
uh	UH	uh
by	IN	by
the	DT	the
Iron	NP	Iron
Dome	NP	Dome
and	CC	and
this	DT	this
is	VBZ	be
being	VBG	be
described	VVN	describe
as	IN	as
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
barrage	NN	barrage
of	IN	of
rockets	NNS	rocket
on	IN	on
Tel	NP	Tel
Aviv	NP	Aviv
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
and	CC	and
Rockets	NNS	rocket
haven't	NNS	haven't
been	VBN	be
fired	VVN	fire
onto	IN	onto
Tel	NP	Tel
Aviv	NP	Aviv
since	IN	since
Friday	NP	Friday
we	PP	we
understand	VVP	understand
we	PP	we
have	VH	have
Sarah	NP	Sarah
kyat	NN	kyat
who's	NNS	who's
joining	VVG	join
us	PP	us
now	RB	now
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	RB	so
tell	VV	tell
us	PP	us
what	WP	what
you're	NN	you're
hearing	NN	hearing
about	IN	about
these	DT	these
Rockets	NNS	rocket
how	WRB	how
many	RB	many
there	EX	there
were	VBD	be
and	CC	and
how	WRB	how
many	JJ	many
were	VBD	be
intercepted	VVN	intercept
by	IN	by
the	DT	the
iron	NN	iron
and	CC	and
the	DT	the
impact	NN	impact
of	IN	of
this	DT	this
well	NN	well
Dar	NP	Dar
pretty	JJ	pretty
much	JJ	much
everything	NN	everything
you've	NN	you've
just	RB	just
said	VVD	say
that	IN/that	that
uh	UH	uh
this	DT	this
seems	VVZ	seem
to	TO	to
have	VH	have
been	VBN	be
the	DT	the
largest	JJS	large
certainly	RB	certainly
the	DT	the
first	JJ	first
since	IN	since
Friday	NP	Friday
uh	UH	uh
and	CC	and
uh	UH	uh
it's	NNS	it's
been	VBN	be
claimed	VVN	claim
by	IN	by
alasam	NN	alasam
Brigade	NN	brigade
which	WDT	which
is	VBZ	be
considered	VVN	consider
the	DT	the
military	JJ	military
Wing	NP	Wing
to	TO	to
Hamas	NP	Hamas
and	CC	and
interestingly	RB	interestingly
uh	UH	uh
just	RB	just
before	IN	before
some	DT	some
of	IN	of
those	DT	those
schools	NNS	school
are	VBP	be
meant	VVN	mean
to	TO	to
return	VV	return
to	TO	to
full	JJ	full
functionality	NN	functionality
in	IN	in
uh	UH	uh
Tel	NP	Tel
Aviv	NP	Aviv
which	WDT	which
is	VBZ	be
supposed	VVN	suppose
to	TO	to
happen	VV	happen
as	RB	as
of	IN	of
tomorrow	NN	tomorrow
now	IN	now
uh	UH	uh
what	WP	what
we	PP	we
have	VHP	have
understood	VVN	understand
so	RB	so
far	RB	far
is	VBZ	be
that	IN/that	that
there	EX	there
have	VHP	have
been	VBN	be
no	DT	no
casualties	NNS	casualty
reported	VVD	report
and	CC	and
they're	NN	they're
still	RB	still
only	RB	only
just	RB	just
trying	VVG	try
to	TO	to
find	VV	find
out	RP	out
uh	UH	uh
where	WRB	where
it	PP	it
those	DT	those
Rockets	NNS	rocket
were	VBD	be
heading	VVG	head
exactly	RB	exactly
towards	IN	towards
uh	UH	uh
Tel	NP	Tel
Aviv	NP	Aviv
which	WDT	which
is	VBZ	be
a	DT	a
huge	JJ	huge
uh	UH	uh
City	NP	City
and	CC	and
uh	UH	uh
has	VHZ	have
been	VBN	be
uh	UH	uh
to	TO	to
some	DT	some
degree	NN	degree
functioning	VVG	function
as	RB	as
normal	JJ	normal
especially	RB	especially
since	IN	since
it	PP	it
has	VHZ	have
quietened	VVN	quieten
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
and	CC	and
certainly	RB	certainly
since	IN	since
October	NP	October
uh	UH	uh
the	DT	the
7th	JJ	7th
but	CC	but
contrary	JJ	contrary
to	TO	to
what	WP	what
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
been	VBN	be
putting	VVG	put
out	RP	out
in	IN	in
terms	NNS	term
of	IN	of
daily	JJ	daily
statements	NNS	statement
in	IN	in
terms	NNS	term
of	IN	of
daily	JJ	daily
videos	NNS	video
even	RB	even
of	IN	of
the	DT	the
achievement	NN	achievement
sometimes	RB	sometimes
almost	RB	almost
hourly	JJ	hourly
of	IN	of
their	PP$	their
achievements	NNS	achievement
in	IN	in
north	NN	north
of	IN	of
Gaza	NP	Gaza
uh	UH	uh
and	CC	and
certainly	RB	certainly
in	IN	in
Gaza	NP	Gaza
City	NP	City
itself	PP	itself
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
number	NN	number
of	IN	of
Hamas	JJ	Hamas
commanders	NNS	commander
they've	NN	they've
say	VVP	say
they	PP	they
say	VVP	say
they've	NN	they've
killed	VVN	kill
in	IN	in
terms	NNS	term
of	IN	of
for	IN	for
example	NN	example
a	DT	a
still	JJ	still
picture	NN	picture
that	IN/that	that
we	PP	we
saw	VVD	see
earlier	JJR	early
today	NN	today
of	IN	of
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
soldiers	NNS	soldier
Israeli	JJ	Israeli
soldiers	NNS	soldier
standing	VVG	stand
outside	IN	outside
what	WP	what
Israel	NP	Israel
says	VVZ	say
is	VBZ	be
the	DT	the
Hamas	JJ	Hamas
Court	NN	court
in	IN	in
uh	UH	uh
Gaza	NP	Gaza
which	WDT	which
they're	NN	they're
seeing	VVG	see
as	IN	as
a	DT	a
big	JJ	big
achievement	NN	achievement
to	TO	to
have	VH	have
taken	VVN	take
over	IN	over
this	DT	this
building	NN	building
so	RB	so
contrary	JJ	contrary
to	TO	to
all	DT	all
of	IN	of
that	WDT	that
um	NNS	um
the	DT	the
fact	NN	fact
that	IN/that	that
those	DT	those
Rockets	NNS	rocket
are	VBP	be
still	RB	still
being	VBG	be
fired	VVN	fire
um	NN	um
is	VBZ	be
showing	VVG	show
that	IN/that	that
Hamas	NP	Hamas
still	VV	still
uh	UH	uh
is	VBZ	be
going	VVG	go
strong	JJ	strong
and	CC	and
they're	JJ	they're
trying	VVG	try
certainly	RB	certainly
to	TO	to
send	VV	send
that	DT	that
message	NN	message
that	IN/that	that
nothing	NN	nothing
uh	UH	uh
so	RB	so
far	RB	far
has	VHZ	have
been	VBN	be
able	JJ	able
to	TO	to
quash	VV	quash
uh	UH	uh
their	PP$	their
capabilities	NNS	capability
and	CC	and
certainly	RB	certainly
in	IN	in
in	IN	in
terms	NNS	term
of	IN	of
those	DT	those
Rockets	VVZ	rocket
uh	UH	uh
heading	VVG	head
over	RP	over
to	TO	to
this	DT	this
side	JJ	side
uh	UH	uh
meanwhile	RB	meanwhile
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
happening	VVG	happen
and	CC	and
then	RB	then
you	PP	you
have	VHP	have
uh	UH	uh
family	NN	family
members	NNS	member
in	IN	in
the	DT	the
knesset	NN	Knesset
that	WDT	that
have	VHP	have
been	VBN	be
angered	VVN	anger
uh	UH	uh
by	IN	by
certain	JJ	certain
far-right	JJ	far-right
members	NNS	member
in	IN	in
the	DT	the
government	NN	government
uh	UH	uh
over	IN	over
a	DT	a
push	NN	push
to	TO	to
move	VV	move
forward	RB	forward
with	IN	with
a	DT	a
death	NN	death
penalty	NN	penalty
Bill	NN	bill
all	RB	all
of	IN	of
this	DT	this
uh	UH	uh
is	VBZ	be
happening	VVG	happen
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
and	CC	and
certainly	RB	certainly
uh	UH	uh
we're	NN	we're
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
try	VV	try
and	CC	and
find	VV	find
out	RP	out
more	JJR	more
information	NN	information
in	IN	in
terms	NNS	term
of	IN	of
those	DT	those
Rockets	NNS	rocket
but	CC	but
certainly	RB	certainly
something	NN	something
we	PP	we
haven't	VVD	haven't
seen	VVN	see
uh	UH	uh
for	IN	for
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
okay	JJ	okay
you'll	NN	you'll
keep	VV	keep
us	PP	us
across	IN	across
the	DT	the
story	NN	story
Sarah	NP	Sarah
thank	VVP	thank
you	PP	you
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
for	IN	for
that	DT	that
update	NN	update
from	IN	from
occupied	JJ	occupied
e	NN	e
Jerusalem	NP	Jerusalem
</doc>	NP	</doc>
