Back	RB	back
now	RB	now
to	TO	to
our	PP$	our
breaking	VVG	break
news	NN	news
here	RB	here
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
A	DT	a
massive	JJ	massive
explosion	NN	explosion
at	IN	at
the	DT	the
largest	JJS	large
refugee	NN	refugee
camp	NN	camp
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Joining	VVG	join
us	PP	us
now	RB	now
is	VBZ	be
Lieutenant	NN	lieutenant
Colonel	NP	Colonel
Richard	NP	Richard
Hecht	NP	Hecht
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
the	DT	the
international	JJ	international
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
.	SENT	.
Thanks	NNS	thanks
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
.	SENT	.
I	PP	I
want	VVP	want
to	TO	to
ask	VV	ask
you	PP	you
first	JJ	first
about	IN	about
this	DT	this
massive	JJ	massive
blast	NN	blast
that	IN/that	that
we	PP	we
all	RB	all
just	RB	just
saw	VVD	see
.	SENT	.
We	PP	we
saw	VVD	see
the	DT	the
video	NN	video
at	IN	at
the	DT	the
Jabalya	NP	Jabalya
refugee	NN	refugee
camp	NN	camp
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Is	VBZ	be
there	RB	there
anything	NN	anything
more	RBR	more
you	PP	you
can	MD	can
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
tell	VV	tell
us	PP	us
about	RB	about
how	WRB	how
this	DT	this
explosion	NN	explosion
happened	VVD	happen
?	SENT	?
I	PP	I
will	MD	will
.	SENT	.
Thanks	NNS	thanks
for	IN	for
having	VHG	have
me	PP	me
.	SENT	.
So	IN	so
we	PP	we
'	''	'
ll	NN	ll
be	VB	be
coming	VVG	come
out	RP	out
in	IN	in
the	DT	the
next	JJ	next
hopefully	RB	hopefully
hour	NN	hour
with	IN	with
more	JJR	more
data	NNS	datum
.	SENT	.
But	CC	but
I	PP	I
can	MD	can
update	VV	update
you	PP	you
now	RB	now
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
very	RB	very
senior	JJ	senior
Hamas	JJ	Hamas
commander	NN	commander
in	IN	in
that	DT	that
area	NN	area
.	SENT	.
Sadly	RB	sadly
,	,	,
he	PP	he
was	VBD	be
hiding	VVG	hide
again	RB	again
,	,	,
as	IN	as
they	PP	they
do	VVP	do
behind	IN	behind
the	DT	the
within	IN	within
civilians	NNS	civilian
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
all	RB	all
I	PP	I
can	MD	can
say	VV	say
at	IN	at
this	DT	this
point	NN	point
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
looking	VVG	look
into	IN	into
it	PP	it
and	CC	and
we	PP	we
'	POS	'
ll	NNS	ll
be	VB	be
coming	VVG	come
out	RP	out
with	IN	with
more	JJR	more
data	NNS	datum
as	IN	as
we	PP	we
learn	VVP	learn
what	WP	what
happened	VVD	happen
there	RB	there
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
individuals	NNS	individual
.	SENT	.
So	RB	so
can	MD	can
you	PP	you
confirm	VV	confirm
it	PP	it
was	VBD	be
an	DT	an
Israeli	JJ	Israeli
attack	NN	attack
that	WDT	that
destroyed	VVD	destroy
a	DT	a
big	JJ	big
chunk	NN	chunk
of	IN	of
that	DT	that
Jabalya	NP	Jabalya
refugee	NN	refugee
camp	NN	camp
?	SENT	?
Yes	UH	yes
,	,	,
I	PP	I
can	MD	can
.	SENT	.
We	PP	we
when	WRB	when
we	PP	we
were	VBD	be
focused	VVN	focus
on	IN	on
the	DT	the
target	NN	target
as	IN	as
your	PP$	your
senior	JJ	senior
commander	NN	commander
,	,	,
Wolf	NP	Wolf
,	,	,
I	PP	I
will	MD	will
be	VB	be
updating	VVG	update
you	PP	you
with	IN	with
more	JJR	more
data	NNS	datum
as	IN	as
the	DT	the
hour	NN	hour
moves	VVZ	move
ahead	RB	ahead
.	SENT	.
But	CC	but
even	RB	even
if	IN	if
that	DT	that
Hamas	JJ	Hamas
commander	NN	commander
was	VBD	be
there	RB	there
,	,	,
amidst	IN	amidst
all	PDT	all
those	DT	those
Palestinian	JJ	Palestinian
refugees	NNS	refugee
who	WP	who
are	VBP	be
in	RB	in
there	RB	there
in	IN	in
that	DT	that
Jabalya	NP	Jabalya
refugee	NN	refugee
camp	NN	camp
,	,	,
Israel	NP	Israel
still	RB	still
went	VVD	go
ahead	RB	ahead
and	CC	and
dropped	VVD	drop
a	DT	a
bomb	NN	bomb
there	RB	there
attempting	VVG	attempt
to	TO	to
kill	VV	kill
this	DT	this
Hamas	JJ	Hamas
campus	NN	campus
.	SENT	.
Hamas	JJ	Hamas
commander	NN	commander
.	SENT	.
Knowing	VVG	know
that	IN/that	that
a	DT	a
lot	NN	lot
of	IN	of
innocent	JJ	innocent
civilians	NNS	civilian
,	,	,
men	NNS	man
,	,	,
women	NNS	woman
and	CC	and
children	NNS	child
,	,	,
presumably	RB	presumably
would	MD	would
be	VB	be
killed	VVN	kill
,	,	,
is	VBZ	be
that	IN/that	that
what	WP	what
I	PP	I
'	POS	'
m	NN	m
hearing	NN	hearing
,	,	,
that	IN/that	that
the	DT	the
United	NP	United
States	NP	States
and	CC	and
that	WDT	that
'	POS	'
s	NNS	s
not	RB	not
what	WP	what
you	PP	you
'	POS	'
re	NN	re
hearing	NN	hearing
,	,	,
Wolf	NP	Wolf
.	SENT	.
We	PP	we
again	RB	again
,	,	,
we	PP	we
'	POS	'
re	NN	re
focused	VVD	focus
on	IN	on
this	DT	this
commander	NN	commander
,	,	,
again	RB	again
,	,	,
who	WP	who
you	PP	you
'	POS	'
ll	NNS	ll
get	VVP	get
more	JJR	more
Doctor	NP	Doctor
who	WP	who
this	DT	this
man	NN	man
was	VBD	be
killed	VVN	kill
,	,	,
many	JJ	many
,	,	,
many	JJ	many
Israelis	NPS	Israelis
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
doing	VVG	do
everything	NN	everything
we	PP	we
can	MD	can
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
complicated	JJ	complicated
battle	NN	battle
space	NN	space
.	SENT	.
That	DT	that
could	MD	could
be	VB	be
infrastructure	NN	infrastructure
there	RB	there
.	SENT	.
There	EX	there
could	MD	could
be	VB	be
tunnels	NNS	tunnel
there	RB	there
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
still	RB	still
looking	VVG	look
into	IN	into
and	CC	and
we	PP	we
'	POS	'
ll	NNS	ll
give	VVP	give
you	PP	you
more	JJR	more
data	NNS	datum
as	IN	as
there	EX	there
are	VBP	be
moves	NNS	move
ahead	RB	ahead
.	SENT	.
But	CC	but
you	PP	you
know	VVP	know
that	IN/that	that
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
refugees	NNS	refugee
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
innocent	JJ	innocent
civilians	NNS	civilian
,	,	,
men	NNS	man
,	,	,
women	NNS	woman
and	CC	and
children	NNS	child
in	IN	in
that	DT	that
refugee	NN	refugee
camp	NN	camp
as	IN	as
well	RB	well
.	SENT	.
Right	RB	right
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
tragedy	NN	tragedy
of	IN	of
war	NN	war
,	,	,
Wolf	NP	Wolf
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
we	PP	we
as	IN	as
you	PP	you
know	VVP	know
,	,	,
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
saying	VVG	say
for	IN	for
days	NNS	day
,	,	,
move	VV	move
south	RB	south
.	SENT	.
If	IN	if
aliens	NNS	alien
are	VBP	be
not	RB	not
involved	VVN	involve
with	IN	with
Hamas	NP	Hamas
,	,	,
please	VVP	please
move	NN	move
south	RB	south
.	SENT	.
And	CC	and
just	RB	just
trying	VVG	try
to	TO	to
get	VV	get
more	JJR	more
information	NN	information
.	SENT	.
You	PP	you
knew	VVD	know
there	EX	there
were	VBD	be
civilians	NNS	civilian
there	RB	there
.	SENT	.
You	PP	you
knew	VVD	know
there	EX	there
were	VBD	be
refugees	NNS	refugee
,	,	,
all	DT	all
sorts	NNS	sort
of	IN	of
refugees	NNS	refugee
.	SENT	.
But	CC	but
you	PP	you
decided	VVD	decide
to	TO	to
still	RB	still
drop	VV	drop
a	DT	a
bomb	NN	bomb
on	IN	on
that	DT	that
refugee	NN	refugee
camp	NN	camp
attempting	VVG	attempt
to	TO	to
kill	VV	kill
this	DT	this
Hamas	JJ	Hamas
commander	NN	commander
.	SENT	.
By	IN	by
the	DT	the
way	NN	way
,	,	,
was	VBD	be
he	PP	he
killed	VVN	kill
?	SENT	?
And	CC	and
whether	IN	whether
or	CC	or
not	RB	not
that	WDT	that
is	VBZ	be
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
confirm	VVP	confirm
yet	RB	yet
.	SENT	.
There	EX	there
will	MD	will
be	VB	be
more	RBR	more
updated	VVN	update
.	SENT	.
Yes	UH	yes
,	,	,
we	PP	we
know	VVP	know
that	IN/that	that
he	PP	he
was	VBD	be
killed	VVN	kill
and	CC	and
by	IN	by
the	DT	the
civilians	NNS	civilian
there	RB	there
.	SENT	.
We	PP	we
'	''	'
re	IN	re
doing	VVG	do
everything	NN	everything
we	PP	we
can	MD	can
to	TO	to
minimize	VV	minimize
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	ll
tell	VVP	tell
you	PP	you
,	,	,
I	PP	I
'	POS	'
ll	NNS	ll
say	VVP	say
again	RB	again
,	,	,
badly	RB	badly
.	SENT	.
They	PP	they
are	VBP	be
hiding	VVG	hide
themselves	PP	themselves
within	IN	within
civilian	JJ	civilian
population	NN	population
.	SENT	.
And	CC	and
again	RB	again
,	,	,
we	PP	we
are	VBP	be
doing	VVG	do
this	DT	this
stage	NN	stage
by	IN	by
stage	NN	stage
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
go	VV	go
after	IN	after
every	DT	every
one	CD	one
of	IN	of
these	DT	these
terrorists	NNS	terrorist
who	WP	who
was	VBD	be
involved	VVN	involve
in	IN	in
that	DT	that
genius	NN	genius
attack	NN	attack
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
Wolf	NP	Wolf
.	SENT	.
