<video_id>w7tryfCAy2I</video_id>	JJ	<video_id>w7tryfCAy2I</video_id>
<video_title>Two	NN	<video_title>Two
govt	NN	govt
ministers	NNS	minister
testify	VVP	testify
to	TO	to
UK	NP	UK
parliament	NN	parliament
committee	NN	committee
on	IN	on
arms	NNS	arm
exports	NNS	export
to	TO	to
Israel</video_title>	NP	Israel</video_title>
<thumbnail_path>data/en_AJ\Two	NP	<thumbnail_path>data/en_AJ\Two
govt	NN	govt
ministers	NNS	minister
testify	VVP	testify
to	TO	to
UK	NP	UK
parliament	NN	parliament
committee	NN	committee
on	IN	on
arms	NNS	arm
exports	NNS	export
to	TO	to
Israel.jpg</thumbnail_path>	NP	Israel.jpg</thumbnail_path>
<publish_date>20240424</publish_date>	NN	<publish_date>20240424</publish_date>
<doc>	NN	<doc>
two	CD	two
UK	NP	UK
ministers	NNS	minister
will	MD	will
present	VV	present
evidence	NN	evidence
to	TO	to
defend	VV	defend
the	DT	the
government	NN	government
at	IN	at
a	DT	a
business	NN	business
and	CC	and
trade	NN	trade
Committee	NN	committee
hearing	NN	hearing
on	IN	on
arms	NNS	arm
exports	NNS	export
to	TO	to
Israel	NP	Israel
let's	NNS	let's
go	VVP	go
live	VV	live
straight	RB	straight
away	RB	away
to	TO	to
Sonia	NP	Sonia
GGA	NP	GGA
who's	NNS	who's
outside	IN	outside
Westminster	NP	Westminster
and	CC	and
Sonia	NP	Sonia
tell	VVP	tell
us	PP	us
more	RBR	more
about	RB	about
why	WRB	why
this	DT	this
hearing	NN	hearing
has	VHZ	have
been	VBN	be
called	VVN	call
and	CC	and
what	WP	what
we	PP	we
expect	VVP	expect
to	TO	to
hear	VV	hear
from	IN	from
both	DT	both
sides	NNS	side
well	RB	well
it's	JJ	it's
it's	NNS	it's
becoming	VVG	become
more	JJR	more
of	IN	of
a	DT	a
process	NN	process
where	WRB	where
uh	UH	uh
the	DT	the
British	JJ	British
uh	UH	uh
export	NN	export
licenses	VVZ	license
the	DT	the
arms	NNS	arm
licenses	NNS	license
to	TO	to
Israel	NP	Israel
are	VBP	be
coming	VVG	come
under	IN	under
increased	VVN	increase
scrutiny	NN	scrutiny
and	CC	and
not	RB	not
least	JJS	least
because	IN	because
there	EX	there
was	VBD	be
that	DT	that
letter	NN	letter
that	WDT	that
was	VBD	be
signed	VVN	sign
among	IN	among
them	PP	them
by	IN	by
uh	UH	uh
former	JJ	former
justices	NNS	justice
of	IN	of
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
that	WDT	that
questions	VVZ	question
uh	UH	uh
what	WP	what
the	DT	the
UK's	NP	UK's
role	NN	role
is	VBZ	be
in	IN	in
this	DT	this
and	CC	and
what	WP	what
it	PP	it
it	PP	it
can	MD	can
do	VV	do
to	TO	to
avoid	VV	avoid
uh	UH	uh
any	DT	any
accusations	NNS	accusation
of	IN	of
playing	VVG	play
any	DT	any
part	NN	part
in	IN	in
breaching	VVG	breach
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
one	CD	one
of	IN	of
those	DT	those
justices	NNS	justice
and	CC	and
the	DT	the
signatories	NNS	signatory
of	IN	of
that	DT	that
letter	NN	letter
was	VBD	be
indeed	RB	indeed
presenting	VVG	present
uh	UH	uh
statements	NNS	statement
to	TO	to
uh	UH	uh
the	DT	the
committee	NN	committee
uh	UH	uh
that	WDT	that
is	VBZ	be
taking	VVG	take
place	NN	place
and	CC	and
he	PP	he
said	VVD	say
basically	RB	basically
that	IN/that	that
the	DT	the
two	CD	two
uh	UH	uh
the	DT	the
arguments	NNS	argument
hinge	VVP	hinge
on	IN	on
two	CD	two
accounts	NNS	account
whether	IN	whether
it's	NNS	it's
ascertaining	VVG	ascertain
on	IN	on
the	DT	the
looking	VVG	look
at	IN	at
the	DT	the
uh	UH	uh
findings	NNS	finding
of	IN	of
the	DT	the
the	DT	the
provisional	JJ	provisional
findings	NNS	finding
of	IN	of
the	DT	the
icj	NN	icj
that	WDT	that
were	VBD	be
made	VVN	make
on	IN	on
the	DT	the
26th	JJ	26th
of	IN	of
January	NP	January
looking	VVG	look
at	IN	at
how	WRB	how
Palestinians	NNS	Palestinian
are	VBP	be
a	DT	a
distinct	JJ	distinct
group	NN	group
who	WP	who
are	VBP	be
perfectly	RB	perfectly
entitled	VVN	entitle
to	TO	to
protection	NN	protection
and	CC	and
also	RB	also
the	DT	the
scale	NN	scale
of	IN	of
Civilian	JJ	civilian
loss	NN	loss
and	CC	and
the	DT	the
Damage	NN	damage
uh	UH	uh
that	WDT	that
is	VBZ	be
also	RB	also
being	VBG	be
done	VVN	do
to	TO	to
civilian	JJ	civilian
uh	UH	uh
destruction	NN	destruction
now	RB	now
there	RB	there
is	VBZ	be
in	IN	in
his	PP$	his
words	NNS	word
evidence	NN	evidence
of	IN	of
a	DT	a
genocidal	JJ	genocidal
intent	NN	intent
with	IN	with
regard	NN	regard
to	TO	to
statements	NNS	statement
that	WDT	that
had	VHD	have
been	VBN	be
made	VVN	make
from	IN	from
members	NNS	member
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
the	DT	the
fact	NN	fact
and	CC	and
the	DT	the
circumstances	NNS	circumstance
would	MD	would
seem	VV	seem
to	TO	to
apply	VV	apply
to	TO	to
what	WP	what
the	DT	the
icj	NN	icj
have	VHP	have
put	VVN	put
in	IN	in
that	DT	that
provisional	JJ	provisional
account	NN	account
now	RB	now
that	IN/that	that
of	IN	of
course	NN	course
was	VBD	be
counted	VVN	count
uh	UH	uh
by	IN	by
lawyers	NNS	lawyer
for	IN	for
Israel	NP	Israel
and	CC	and
Natasha	NP	Natasha
hdor	NN	hdor
was	VBD	be
presenting	VVG	present
that	DT	that
argument	NN	argument
putting	VVG	put
questions	NNS	question
on	IN	on
the	DT	the
plausibility	NN	plausibility
of	IN	of
that	DT	that
civilian	JJ	civilian
count	NN	count
stating	VVG	state
that	IN/that	that
up	RB	up
to	TO	to
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
casualties	NNS	casualty
could	MD	could
not	RB	not
be	VB	be
accounted	VVN	account
for	IN	for
and	CC	and
that	DT	that
there	RB	there
doesn't	JJ	doesn't
seem	VVP	seem
to	TO	to
be	VB	be
any	DT	any
distinction	NN	distinction
between	IN	between
combatants	NNS	combatant
and	CC	and
civilians	NNS	civilian
but	CC	but
of	IN	of
course	NN	course
while	IN	while
that	WDT	that
is	VBZ	be
being	VBG	be
acted	VVN	act
out	IN	out
it	PP	it
is	VBZ	be
the	DT	the
UN	NP	UN
as	IN	as
Jonathan	NP	Jonathan
sumption	NN	sumption
the	DT	the
the	DT	the
lawyer	NN	lawyer
who	WP	who
has	VHZ	have
been	VBN	be
the	DT	the
signatur	NN	signatur
of	IN	of
that	DT	that
letter	VV	letter
uh	UH	uh
saying	VVG	say
that	IN/that	that
it	PP	it
is	VBZ	be
the	DT	the
the	DT	the
UN	NP	UN
agencies	NNS	agency
and	CC	and
The	DT	the
Who	WP	who
that	WDT	that
are	VBP	be
looking	VVG	look
at	IN	at
that	WDT	that
and	CC	and
that's	NNS	that's
the	DT	the
evidence	NN	evidence
that	IN/that	that
they're	NN	they're
relying	VVG	rely
on	IN	on
all	DT	all
right	NN	right
so	RB	so
and	CC	and
what's	NNS	what's
the	DT	the
government	NN	government
been	VBN	be
saying	VVG	say
about	RB	about
all	RB	all
of	IN	of
this	DT	this
well	RB	well
the	DT	the
government	NN	government
has	VHZ	have
been	VBN	be
maintaining	VVG	maintain
its	PP$	its
stance	NN	stance
that	IN/that	that
what	WP	what
it	PP	it
has	VHZ	have
been	VBN	be
doing	VVG	do
has	VHZ	have
been	VBN	be
perfectly	RB	perfectly
legal	JJ	legal
and	CC	and
that	IN/that	that
it	PP	it
has	VHZ	have
been	VBN	be
taking	VVG	take
a	DT	a
look	NN	look
at	IN	at
those	DT	those
export	NN	export
licenses	NNS	license
but	CC	but
a	DT	a
high	JJ	high
court	VV	court
uh	UH	uh
ruling	NN	ruling
on	IN	on
on	IN	on
that	DT	that
earlier	RBR	earlier
this	DT	this
week	NN	week
has	VHZ	have
seen	VVN	see
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
evidence	NN	evidence
presented	VVD	present
that	IN/that	that
David	NP	David
Cameron	NP	Cameron
the	DT	the
foreign	JJ	foreign
secretary	NN	secretary
has	VHZ	have
renewed	VVN	renew
licenses	NNS	license
on	IN	on
the	DT	the
8th	JJ	8th
of	IN	of
April	NP	April
uh	UH	uh
there	EX	there
was	VBD	be
a	DT	a
letter	NN	letter
that	WDT	that
stated	VVD	state
that	IN/that	that
certainly	RB	certainly
the	DT	the
processes	NNS	process
could	MD	could
be	VB	be
improved	VVN	improve
and	CC	and
that	DT	that
is	VBZ	be
certainly	RB	certainly
being	VBG	be
questioned	VVN	question
by	IN	by
other	JJ	other
ministers	NNS	minister
of	IN	of
the	DT	the
government	NN	government
stating	VVG	state
that	IN/that	that
there	EX	there
certainly	RB	certainly
isn't	VVD	isn't
any	DT	any
International	NP	International
consensus	NN	consensus
that	DT	that
such	JJ	such
uh	UH	uh
careful	JJ	careful
look	NN	look
at	IN	at
these	DT	these
uh	UH	uh
export	NN	export
licenses	VVZ	license
uh	UH	uh
would	MD	would
indeed	RB	indeed
be	VB	be
able	JJ	able
to	TO	to
prevent	VV	prevent
the	DT	the
UK	NP	UK
from	IN	from
being	VBG	be
drawn	VVN	draw
into	IN	into
accusations	NNS	accusation
of	IN	of
partaking	VVG	partake
in	IN	in
any	DT	any
potential	JJ	potential
breaches	NNS	breach
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
looking	VVG	look
at	IN	at
countries	NNS	country
such	JJ	such
as	IN	as
Italy	NP	Italy
which	WDT	which
have	VHP	have
already	RB	already
suspended	VVN	suspend
those	DT	those
export	NN	export
licenses	VVZ	license
it	PP	it
is	VBZ	be
stressing	VVG	stress
that	IN/that	that
the	DT	the
UK	NP	UK
would	MD	would
need	VV	need
to	TO	to
look	VV	look
more	JJR	more
at	IN	at
what	WP	what
it	PP	it
is	VBZ	be
doing	VVG	do
and	CC	and
how	WRB	how
it	PP	it
is	VBZ	be
continuing	VVG	continue
to	TO	to
sell	VV	sell
those	DT	those
licenses	NNS	license
without	IN	without
breaching	VVG	breach
those	DT	those
laws	NNS	law
all	DT	all
right	NN	right
we'll	NN	we'll
see	VV	see
how	WRB	how
that	DT	that
hearing	NN	hearing
pans	VVZ	pan
out	RP	out
as	IN	as
a	DT	a
day	NN	day
goes	VVZ	go
on	IN	on
thanks	NNS	thanks
Ona	NP	Ona
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
